dataset_code,lake,date_time,reference benchmark,surveying benchmark,lake level(masl),comments
LIMNO_LAKE_LEVELS,Lake Hoare,11/2/11 0:00,BMT13,ROCK,74.66,hilary/maciek
LIMNO_LAKE_LEVELS,Lake Bonney,11/8/11 0:00,BMT20,medved1,64.64,maciek/hilary
LIMNO_LAKE_LEVELS,Don Juan Pond,11/14/11 0:00,,DVDP pipe 200.00m,198.4,maciek/hilary
LIMNO_LAKE_LEVELS,Lake Vanda,11/14/11 0:00,,Astro A 94.52m old datum,93.92,maciej/hilary
LIMNO_LAKE_LEVELS,Lake Vida,11/17/11 0:00,,NZBM 350.00m,349.72,Maciek/Hilary
LIMNO_LAKE_LEVELS,Lake Miers,11/29/11 0:00,BMT 26,BMT 26,158.67,Maciek/Hilary
LIMNO_LAKE_LEVELS,Lake Vanda,1/25/12 0:00,,LVA 11 BM 96.503 m,94.27,Stream team
LIMNO_LAKE_LEVELS,Lake Fryxell,1/26/12 0:00,BMT9,LF 11,18.19,Stream Team
LIMNO_LAKE_LEVELS,Lake Miers,1/28/12 0:00,BMT 26,BMT 26,158.67,Stream Team
LIMNO_LAKE_LEVELS,Don Juan Pond,1/30/12 0:00,,DVDP pipe 200.00m,198.44,Stream team
LIMNO_LAKE_LEVELS,Lake Bonney,1/30/12 0:00,BMT20,medved1,64.89,Stream team
LIMNO_LAKE_LEVELS,Lake Hoare,1/30/12 0:00,BMT13,LH 11,74.86,stream team
LIMNO_LAKE_LEVELS,Lake Vida,1/30/12 0:00,,LVI 10 355.322m,349.76,Stream team
LIMNO_LAKE_LEVELS,Lake Hoare,10/22/12 0:00,BMT13,LH 11,74.79,Hilary/Kyle
LIMNO_LAKE_LEVELS,Don Juan Pond,10/26/12 0:00,,DVDP pipe 200.00m,198.41,Hilary/Kyle
LIMNO_LAKE_LEVELS,Lake Vida,10/26/12 0:00,,LVI 10 355.322m,349.79,Hilary/Kyle
LIMNO_LAKE_LEVELS,Lake Fryxell,11/1/12 0:00,BMT9,LF 11,18.1,Hilary/Kyle
LIMNO_LAKE_LEVELS,Lake Bonney,11/7/12 0:00,BMT20,medved1,64.99,Hilary/Kyle
LIMNO_LAKE_LEVELS,Lake Miers,11/20/12 0:00,BMT 26,BMT 26,158.54,Kyle/Hilary
LIMNO_LAKE_LEVELS,Lake Vanda,12/4/12 0:00,,LVA 11 BM 96.503 m,94.16,Hilary
LIMNO_LAKE_LEVELS,Lake Fryxell,1/24/13 0:00,BMT9,BMT9,18.19,Stream team
LIMNO_LAKE_LEVELS,Lake Hoare,1/29/13 0:00,BMT13,LH 11,74.9,Stream Team
LIMNO_LAKE_LEVELS,Don Juan Pond,1/31/13 0:00,,DVDP pipe 200.00m,198.53,Stream team
LIMNO_LAKE_LEVELS,Lake Bonney,1/31/13 0:00,BMT20,medved1,65.31,stream team
LIMNO_LAKE_LEVELS,Lake Vanda,1/31/13 0:00,,LVA 11 BM 96.503 m,94.31,Stream Team
LIMNO_LAKE_LEVELS,Lake Vida,1/31/13 0:00,,LVI 10 355.322m,349.87,Stream Team
LIMNO_LAKE_LEVELS,Lake Hoare,11/14/13 0:00,BMT13,LH 11,74.83,Hilary/Kyle
LIMNO_LAKE_LEVELS,Lake Bonney,11/18/13 0:00,BMT20,medved1,65.3,Hilary/Peter
LIMNO_LAKE_LEVELS,Lake Fryxell,11/27/13 0:00,BMT9,LF 11,18.31,Kyle/Luke
LIMNO_LAKE_LEVELS,Lake Miers,11/30/13 0:00,BMT 26,BMT 26,158.55,Hilary/Justin
