dataset_code,limno_run,location_name,location_code,date_time,depth_m,wire_corrected_depth_m,ctd_conductivity_mscm,ctd_temp_c,ctd_comments,filename
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,16.425,16.886,7.9636,2.337,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,16.515,16.976,7.9914,2.335,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,16.6,17.061,8.0216,2.332,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,16.721,17.182,8.0555,2.329,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,16.826,17.287,8.0878,2.327,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,16.904,17.365,8.1103,2.326,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,17.031,17.492,8.1478,2.324,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,17.161,17.622,8.1841,2.322,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,17.242,17.703,8.2073,2.321,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,17.332,17.793,8.2275,2.32,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,17.416,17.877,8.2517,2.319,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,17.541,18.002,8.2878,2.318,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,17.655,18.116,8.318,2.317,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,17.735,18.196,8.3352,2.317,,LIMNO_CTD_2324.CSV
