Dataset, Plane_Height,Elevation_masl,Depth (0 = bottom of the lake), Area_2D, Volume,VolumeLayer,lake
,,55.83,32.7,861665.0521,14499395.63,85698.8,WLB
,,55.93,32.8,863967.4845,14585094.45,85698.8,WLB
,,56.03,32.9,866269.9169,14670793.28,85698.8,WLB
,,56.13,33,868572.3493,14756492.1,85698.8,WLB
,,56.23,33.1,870940.7688,14844527.8,88035.7,WLB
,,56.33,33.2,873309.1883,14932563.5,88035.7,WLB
,,56.43,33.3,875677.6077,15020599.2,88035.7,WLB
,,56.53,33.4,878046.0272,15108634.9,88035.7,WLB
,,56.63,33.5,880414.4467,15196670.61,88035.7,WLB
,,56.73,33.6,882782.8662,15284706.31,88035.7,WLB
,,56.83,33.7,885151.2857,15372742.01,88035.7,WLB
,,56.93,33.8,887519.7051,15460777.71,88035.7,WLB
,,57.03,33.9,889888.1246,15548813.41,88035.7,WLB
,,57.13,34,892256.5441,15636849.11,88035.7,WLB
,,57.23,34.1,894719.0558,15727296.78,90447.7,WLB
,,57.33,34.2,897181.5675,15817744.44,90447.7,WLB
,,57.43,34.3,899644.0792,15908192.11,90447.7,WLB
,,57.53,34.4,902106.5909,15998639.78,90447.7,WLB
,,57.63,34.5,904569.1026,16089087.45,90447.7,WLB
,,57.73,34.6,907031.6142,16179535.11,90447.7,WLB
,,57.83,34.7,909494.1259,16269982.78,90447.7,WLB
,,57.93,34.8,911956.6376,16360430.45,90447.7,WLB
,,58.03,34.9,914419.1493,16450878.11,90447.7,WLB
,,58.13,35,916881.661,16541325.78,90447.7,WLB
,,58.23,35.1,919504.4429,16634303.47,92977.7,WLB
,,58.33,35.2,922127.2248,16727281.16,92977.7,WLB
,,58.43,35.3,924750.0068,16820258.84,92977.7,WLB
,,58.53,35.4,927372.7887,16913236.53,92977.7,WLB
,,58.63,35.5,929995.5706,17006214.22,92977.7,WLB
,,58.73,35.6,932618.3525,17099191.91,92977.7,WLB
,,58.83,35.7,935241.1344,17192169.6,92977.7,WLB
,,58.93,35.8,937863.9164,17285147.28,92977.7,WLB
,,59.03,35.9,940486.6983,17378124.97,92977.7,WLB
,,59.13,36,943109.4802,17471102.66,92977.7,WLB
,,59.23,36.1,945832.211,17566771.99,95669.3,WLB
,,59.33,36.2,948554.9418,17662441.32,95669.3,WLB
,,59.43,36.3,951277.6726,17758110.64,95669.3,WLB
,,59.53,36.4,954000.4034,17853779.97,95669.3,WLB
,,59.63,36.5,956723.1343,17949449.3,95669.3,WLB
,,59.73,36.6,959445.8651,18045118.63,95669.3,WLB
,,59.83,36.7,962168.5959,18140787.96,95669.3,WLB
,,59.93,36.8,964891.3267,18236457.28,95669.3,WLB
,,60.03,36.9,967614.0575,18332126.61,95669.3,WLB
,,60.13,37,970336.7883,18427795.94,95669.3,WLB
,,60.23,37.1,973194.0034,18526244.48,98448.5,WLB
,,60.33,37.2,976051.2185,18624693.01,98448.5,WLB
,,60.43,37.3,978908.4335,18723141.55,98448.5,WLB
,,60.53,37.4,981765.6486,18821590.09,98448.5,WLB
,,60.63,37.5,984622.8637,18920038.63,98448.5,WLB
,,60.73,37.6,987480.0788,19018487.16,98448.5,WLB
,,60.83,37.7,990337.2939,19116935.7,98448.5,WLB
,,60.93,37.8,993194.5089,19215384.24,98448.5,WLB
,,61.03,37.9,996051.724,19313832.77,98448.5,WLB
,,61.13,38,998908.9391,19412281.31,98448.5,WLB
,,61.23,38.1,1001908.378,19513658.89,101377.6,WLB
,,61.33,38.2,1004907.817,19615036.47,101377.6,WLB
,,61.43,38.3,1007907.255,19716414.05,101377.6,WLB
,,61.53,38.4,1010906.694,19817791.63,101377.6,WLB
,,61.63,38.5,1013906.133,19919169.21,101377.6,WLB
,,61.73,38.6,1016905.572,20020546.79,101377.6,WLB
