location_name,date_time,ice.approx,ice.vol,heat_J,heatIce_J,Area_2D,vol,cum_vol,LL,tempV,tempUse,heatTot_J_m2,heatLake_J_m3,heatIce_J_m3,dec.date,yday
Lake Hoare,2006-12-15,3.31010989010989,6536286.2197,25091438476267.08,1964807637641820,2253501.052,14776376.724510001,18911198.6640484,74.2,0.42487922066602346,0.4183356589147287,-860756731.1513076,1326803.177419302,300600000,2006.9534246575342,349
Lake Hoare,2007-11-17,3.215,6361264.9413,27229564321781.31,1912196241354780,2253501.052,14951398.002910001,19086219.9424484,74.21475409836066,0.4545702605331024,0.4410807692307692,-836461414.2780523,1426660.9314933983,300600000,2007.876712328767,321
Lake Hoare,2007-12-11,3.035,6058391.437100001,33099697741798.285,1821152465992260,2266839.043,15480955.41141,19615777.350948397,74.25409836065573,0.5310674146887248,0.5112172932330827,-788786823.5603094,1687401.786307386,300599999.99999994,2007.9424657534246,345
Lake Hoare,2008-11-18,3.3096774193548386,6587948.845600001,34519719101595.18,1980337422987360,2266839.043,14951398.002910001,19086219.9424484,74.26521739130435,0.570064873601117,0.5508596153846154,-858383708.3159701,1808619.999438556,300600000,2008.879781420765,323
Lake Hoare,2008-12-17,3.0149999999999997,6108185.072600001,42163658857871.32,1836120432823560,2277777.751,15658939.551010001,19793761.4905484,74.35978260869565,0.6625208560436006,0.6371343283582089,-787590788.0731989,2130148.8793832664,300600000,2008.9590163934427,352
Lake Hoare,2009-11-13,3.22,6566610.3534,31968282200795.86,1973923072232040,2296711.833,15658939.551010001,19793761.4905484,74.59599999999999,0.5072758954045111,0.49998320895522386,-845536981.2305243,1615068.5768372447,300600000,2009.8657534246574,317
Lake Hoare,2009-12-11,3.045,6208597.3917000005,37614932542002.766,1866304375945020,2296711.833,16016952.512710001,20151774.4522484,74.59526627218935,0.5809272481750714,0.5707481617647059,-796220673.89027,1866581.6566742065,300600000,2009.9424657534246,345
Lake Hoare,2010-11-15,3.4070689655172415,6692181.132200001,27005680032763.17,2011669648339320,2287540.975,15303697.58891,19438519.5284484,74.53777777777778,0.44065098899629146,0.4334204545454545,-867597122.8478462,1389286.874097597,300599999.99999994,2010.8712328767124,319
Lake Hoare,2010-12-12,3.3,6744594.493000001,32795343229235.35,2027425104595800,2296711.833,15480955.41141,19615777.350948397,74.59777777777778,0.5253831625665337,0.5133533834586467,-868471931.352898,1671885.9845566987,300599999.99999994,2010.945205479452,346
Lake Hoare,2011-11-13,3.3925806451612903,6797173.2899,25832650224217.13,2043230290943940.2,2305629.365,15658939.551010001,19793761.4905484,74.7247191011236,0.41451352424214605,0.4066175373134328,-874987832.5390441,1305090.5072566587,300600000,2011.8657534246574,317
Lake Hoare,2011-12-12,3.285,6670594.1594,27999535104734.47,2005180604315640.2,2314338.312,16016952.512710001,20151774.4522484,74.78988764044944,0.43798602108093687,0.4286948529411765,-854318082.6066306,1389432.7356175063,300600000,2011.945205479452,346
Lake Hoare,2012-12-08,3.4153333333333333,6849938.168900001,29673323026339.605,2059091413571340.2,2314338.312,15837608.50321,19972430.442748398,74.84747474747475,0.4675620979559521,0.4485037037037037,-876889122.0537341,1485714.1754179155,300600000,2012.9344262295083,343
Lake Hoare,2013-12-11,3.204395280235988,6775331.5486,20828558664780.508,2036664663509160.2,2331491.173,16377664.39891,20512486.338448398,74.95652173913044,0.3272589894342459,0.33481702898550725,-864612368.3370169,1015408.7769330853,300600000,2013.9424657534246,345
Lake Hoare,2014-12-14,2.8982500000000004,6096157.8848,51432571561760.22,1832505060170880,2339743.965,17290812.45921,21425634.398748398,75.14651162790697,0.7317699800395661,0.6859720279720279,-761225379.8928465,2400515.690903636,300600000,2014.9506849315069,348
Lake Hoare,2015-12-13,3.215875370919881,6880740.3266,39985553701508.61,2068350542175960.2,2347873.774,16741017.39481,20875839.3343484,75.19397590361446,0.5925199524529311,0.5983303571428571,-863915688.7121699,1915398.6127742291,300600000,2015.9479452054795,347
Lake Hoare,2016-12-15,3.5073809523809523,7424784.558,32967008370131.734,2231890238134800.2,2347873.774,16196973.16341,20331795.102948397,75.2,0.5071340939035868,0.5084835766423358,-936559390.0810224,1621450.9443561651,300600000,2016.9535519125684,350
Lake Hoare,2017-12-09,3.915,7906014.932600001,23901684518182.785,2376548088739560,2339743.965,15480955.41141,19615777.350948397,75.11666666666666,0.3887561988903197,0.3874097744360902,-1005514466.2896383,1218492.8535104508,300599999.99999994,2017.9369863013699,343
Lake Hoare,2018-11-15,4.3,8610593.6195,15169978251644.578,2588344442021700,2339743.965,14776376.724510001,18911198.6640484,75.10877742946708,0.2647465205942415,0.2735687984496124,-1099767539.6376355,802169.049203837,300600000,2018.8712328767124,319
Lake Hoare,2018-12-14,4.125,8435572.3411,18139281295095.82,2535733045734660,2339743.965,14951398.002910001,19086219.9424484,75.10217391304347,0.30954862196485783,0.3115457692307692,-1076012504.829589,950386.2655775775,300600000,2018.9506849315069,348
Lake Hoare,2019-11-16,4.156034482758621,8435572.3411,16807911107464.855,2535733045734660,2339743.965,14951398.002910001,19086219.9424484,75.10101694915254,0.2878539458003734,0.28781923076923077,-1076581528.7089307,880630.6936704366,300600000,2019.8739726027397,320
Lake Hoare,2019-12-13,4.035,8259793.2645000005,20593349060632.504,2482893855308700,2339743.965,15127177.079510001,19261999.0190484,75.13380281690141,0.34537572943871747,0.3401335877862596,-1052380321.5571357,1069117.9581240513,300600000,2019.9479452054795,347
Lake Hoare,2021-12-23,2.89,6196716.3407000005,42100181657581.984,1862732932014420,2355819.374,17660623.31811,21795445.257648397,75.33225806451614,0.5911740016480732,0.570803448275862,-772823574.867518,1931604.5696661465,300600000,2021.9753424657533,357
Lake Hoare,2022-11-18,3.0525,6514842.5979,41090227575100.11,1958361684928740.2,2347873.774,17106915.12351,21241737.0630484,75.20151515151515,0.5949236014622391,0.5835422535211268,-816599034.660728,1934409.9521210839,300600000,2022.8794520547945,322
Lake Hoare,2022-12-22,2.585,5823763.344400001,47073127893932.88,1750623261326640,2355819.374,18033576.31441,22168398.253948398,75.2530303030303,0.6454160237996609,0.6391785714285714,-723124256.5681978,2123433.878924866,300599999.99999994,2022.972602739726,356
West Lake Bonney,1993-12-09,3.2,3270141.5590000004,307122735467079.7,983004552635400.1,1038547.015,17520981.481522802,17520981.481522802,62.35290322580645,0.7029830636928258,-0.6305979228486647,-650795589.8061298,17528854.52170381,300600000,1993.9369863013699,343
