location_name,date_time,ice.approx,ice.vol,Area_2D,vol,cum_vol,LL,tempV,tempUse
Lake Fryxell,2004-12-29,5.300131926121372,31452982.860799998,7104786.76,20609885.73868002,23336839.54421643,17.39047619047619,1.4359984718704069,1.6136666666666668
Lake Fryxell,2005-11-12,5.23,31037991.5508,7104786.76,21024877.048680022,23751830.85421643,17.4,1.2719526843578075,1.4928939617083947
Lake Fryxell,2005-12-07,5.211944444444445,30609156.4745,7104786.76,21453712.124980025,24180665.93051643,17.43125,1.342267376895881,1.5532551020408163
Lake Fryxell,2005-12-26,5.198222222222222,31323491.8688,7143353.943,21453712.124980025,24180665.93051643,17.4609375,1.3824629810384568,1.5839606413994167
Lake Fryxell,2006-11-11,4.877692307692308,29246013.301599998,7104786.76,22816855.297880016,25543809.10341643,17.401993355481725,1.5014811243827693,1.7005990099009902
Lake Fryxell,2006-12-11,4.638290598290598,28274408.9561,7104786.76,23788459.643380016,26515413.44891643,17.436363636363634,1.515250368494205,1.7247281553398057
Lake Fryxell,2007-11-12,4.377692307692308,26750472.281099997,7104786.76,25312396.318380013,28039350.123916432,17.400675675675675,1.5572621854101758,1.7884528301886795
Lake Fryxell,2007-12-06,4.109999999999999,25174995.713999994,7104786.76,26887872.885480016,29614826.691016436,17.444,1.7532569359522092,1.941651376146789
Lake Fryxell,2007-12-28,3.6975,23729347.664399993,7143353.943,29047856.32938002,31774810.134916436,17.488,1.7123277073176983,1.9459734513274336
Lake Fryxell,2008-11-13,4.078225806451613,25174995.713999994,7104786.76,26887872.885480016,29614826.691016436,17.424999999999997,1.9134220535668416,2.097071100917431
Lake Fryxell,2008-12-14,3.9427777777777777,24992690.237999994,7181960.657,28502709.82148002,31229663.627016436,17.58,2.0772148073959897,2.2382433035714286
Lake Fryxell,2008-12-30,3.645,23515481.558999997,7220088.134,30701927.31388002,33428881.119416434,17.66,2.0858789533433004,2.276821120689655
Lake Fryxell,2009-11-07,3.7166666666666663,24069863.996699996,7220088.134,30147544.876180023,32874498.681716435,17.702405498281788,1.9553413694501904,2.189939130434783
Lake Fryxell,2009-12-08,3.64,23515481.558999997,7220088.134,30701927.31388002,33428881.119416434,17.7,2.103964530806218,2.300530172413793
Lake Fryxell,2009-12-30,3.2300000000000004,21267780.3633,7220088.134,32949628.509580016,35676582.315116435,17.7,2.1014707805446142,2.33170625
Lake Fryxell,2010-11-10,3.8328571428571427,24795643.579299998,7257795.826,30147544.876180023,32874498.681716435,17.807042253521125,1.9506492872551255,2.2161173913043477
Lake Fryxell,2010-12-08,3.711515151515152,24586918.726299997,7337087.577,31819656.806580022,34546610.61211643,17.964788732394368,1.9789264030158344,2.259646186440678
Lake Fryxell,2011-11-08,3.85,25147280.216599997,7337087.577,31259295.316280022,33986249.121816434,18.03191489361702,1.859170106432183,2.170724358974359
Lake Fryxell,2011-12-09,3.835178571428571,25324592.457199994,7376737.309,31819656.806580022,34546610.61211643,18.097872340425532,2.035388993036458,2.2898283898305083
Lake Fryxell,2012-11-09,3.9439655172413794,25884953.947499994,7376737.309,31259295.316280022,33986249.121816434,18.10952380952381,1.815146167621933,2.1589935897435897
Lake Fryxell,2012-12-06,3.8506666666666667,25324592.457199994,7376737.309,31819656.806580022,34546610.61211643,18.141666666666666,2.0266635394784416,2.293459745762712
Lake Fryxell,2013-11-16,4.2852,27929717.7847,7457364.937,30701927.31388002,33428881.119416434,18.29641693811075,1.7929266583722219,2.1281788793103447
Lake Fryxell,2013-12-09,4.115,26811988.292,7457364.937,31819656.806580022,34546610.61211643,18.342105263157894,1.725993672491633,2.086845338983051
Lake Fryxell,2014-11-09,4.28,28122211.9143,7498621.32,31259295.316280022,33986249.121816434,18.39859943977591,1.8298082320490698,2.1452606837606836
Lake Fryxell,2014-12-12,4.115,27561850.424,7498621.32,31819656.806580022,34546610.61211643,18.389355742296917,1.9065091473727438,2.2066694915254237
